Question,Intent
if a person mov when i do cpr should i stop,heart
when should i stop cpr,heart
what chant doe the person on whom i perform cpr hav of surv,heart
what should i do if im alon and i do not know cpr,heart
if a pregn wom chok should i do the heimlich maneuv or can it harm the baby,heart
what is the reason cal 911 occ aft 2 minut of cpr for inf and childr wherea for adult the cal is mad immedy,heart
if success cpr is depend on a defibril ar ar ther any port defibril avail,heart
in a trekk guidebook i own it stat that if ther has been a traum fal and the victim has no puls then cpr is futil is thi tru,heart
is it tru that if a victim regain a puls aft doing cpr hesh has prob had a puls al along,heart
what is sud cardiac arrest,heart
what caus sud cardiac arrest,heart
what ar the sign and symptom of sud cardiac arrest,heart
how common is sud cardiac arrest,heart
doe sud cardiac arrest most affect the eld,heart
is sud cardiac arrest the sam as a heart attack,heart
wher doe sud cardiac arrest typ occ,heart
who is at risk for sud cardiac arrest,heart
what is the eject fract,heart
doe sud cardiac arrest most affect peopl with a hist of heart problem,heart
what caus sud cardiac arrest in young peopl,heart
how can sud cardiac arrest be prev,heart
what about heart screening eg for stud athlet,heart
what is an impl cardiovert defibril,heart
what is a wear cardiovert defibril,heart
how should sud cardiac arrest be tre,heart
what is cpr,heart
what is an aed,heart
is ther anyth a bystand can do to help sav a lif threatened by sud cardiac arrest,heart
how doe an aed work,heart
who can us an aed,heart
can i accid hurt the victim with an aed,heart
can i hurt myself or oth with an aed,heart
can the aed be us saf if the victim is on a met surfac such as a bleach or stretcher,heart
ar ther spec consid when plac electrod on a fem victim,heart
what if the victim has a med patch such as nitroglycerin,heart
what if the victim has an impl pacemak or defibril,heart
do aed alway help sca victim,heart
what is the diff between aed and defibril common us on amb in hospit and on tv,heart
wher should aed be loc,heart
do i nee to hav a prescrib to acquir an aed,heart
do aed replac the us of cpr,heart
should i hav an aed in my hom,heart
do bystand who provid car nee to be concern about liabl risk,heart
who surv sud cardiac arrest,heart
what is therapeut hypotherm,heart
aft resuscit wil the surv be abl to resum a norm lif,heart
do surv of cardiac arrest expery any comply,heart
four quick step to sav a the lif of a person who has just suff cardiac arrest,heart
what is cprccr,heart
what is an aed,heart
what is the proc to us an aed machin,heart
can aed be saf us,heart
how much jolt is admin by an aed can an act elect shock be giv to the victim,heart
how many shock should be giv to a victim of a cardiac arrest and for how long,heart
should cpr be continu aft an aed shock has been admin if the victim has not rev,heart
can the aed pad be attach ov the victim cloth,heart
how much doe an aed cost and wher can i buy it from if i want to instal it in my socy or off,heart
loc of avail aed in mumba instal bywi help of project ic,heart
is ther a diff between a heart attack and cardiac arrest,heart
what if it not cardiac arrest,heart
what if the cardiac arrest victim is a fem,heart
what if the victim has collaps at a hard to reach plac that look dang lik rock hil sid,heart
what if an aed is not avail,heart
am i protect by law if i try to sav a person lif what is good samarit law,heart
doe the victim nee to be tak to the hospit regardless his rev aft a cardiac arrest,heart
doe project ic charg for workshop,heart
i find the program nobl and would lik to don on an individ capac how should i go about it,heart
i would lik to talk about corp csr fund for ic whom should i contact for it,heart
what ar the warn sign of heart diseas,heart
is heart diseas an irrevers condit,heart
is heart diseas heredit,heart
doe smok increas yo risk of heart diseas,heart
is hypothyroid a risk fact,heart
ar bir control pil a contribut to heart diseas,heart
doe being overweight increas the risk of heart diseas,heart
is salt bad for yo heart,heart
how import is diabet as a risk fact,heart
can stress caus heart diseas,heart
how is heart diseas rel to strokes,heart
what hap if heart diseas is left unt,heart
wil tak an aspirin a day reduc the risk of heart diseas,heart
is it tru that a glass of red win is good for yo heart,heart
can exerc real mak yo heart stronger,heart
whom should i consult when i suspect of hav symptom of heart attack,heart
what ar the maj risk fact for heart diseas,heart
ar wom as pron to heart diseas as men,heart
how do i differenty an angin pain from a pain caus by heart attack,heart
what ar vary test avail to detect heart attack,heart
what ar tre opt avail to tre heart attack,heart
ont aft hav a heart attack and receiv tre wil i get anoth attack,heart
what ar prev meas that wil help reduc the risk of heart attack,heart
which doct wil help if ther is cardiac arrest,heart
how long doe cardiopulmon resuscit of cpr continu,heart
what is the prognos for cardiac arrest,heart
what ar the chant of brain dam aft cardiac arrest,heart
ar ther any method to prev brain injury aft cardiac arrest,heart
good,greeting
fin,greeting
hi,greeting
hi ther,greeting
hello,greeting
hey,greeting
good morn,greeting
good day,greeting
good afternoon,greeting
good ev,greeting
good to see you,greeting
how ar you,greeting
how ar you doing,greeting
how is everyth going,greeting
how hav you been,greeting
what up,greeting
what is hap,greeting
howdy,greeting
thank you,greeting
bye,greeting
