Question,Answer,intent
What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Obsessive-compulsive personality disorder or OCPD is about control. People with OCPD have very inflexible thinking and expect everything to be ordered, perfect, and done their ""correct"" way. This happens at the expense of other important things in life, including relationships with others. Work can take priority over every other part of life, too, and people with OCPD may seem excessively dedicated, but may be unable to complete tasks due to perfectionism. They may struggle to delegate and may distrust other people’s contributions. People with OCPD may not tolerate uncertainty and may have a very rigid understanding of the world—something is either right or wrong. They may also have a hard time spending money on themselves or others, and they may experience hoarding, the inability to throw away items from their homes. The conflict between the desire for neatness or order and the inability to throw things out may cause a lot of anxiety. 
 While obsessive-compulsive personality disorder and obsessive-compulsive disorder (OCD) have a similar name, they are not the same illness. People with obsessive-compulsive disorder usually understand that their obsessions and compulsions are illogical and usually experience a lot of distress, even though they may not be able to stop obsessions or compulsions. Compulsions are an attempt to reduce anxiety, not to find pleasure. People with obsessive-compulsive personality disorder may view their thoughts as part of who they are, see their thoughts as logical, and may find pleasure or benefit in completing compulsive tasks. They may experience a lot of distress when they can’t achieve control or the perfectionism they want. 
 Obsessive-compulsive personality disorder is one of the most common personality disorders. Treatment may include some combination of psychotherapy, medication, and self-help strategies. To find help for OCPD, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator.",mental_health
What is binge-eating disorder?,"Binge-eating disorder or BED is a type of eating disorder. It involves episodes of eating a lot of food in a short amount of time, past the point of feeling full, and feelings of being out of control or unable to stop eating. People who experience binge-eating disorder may binge even when they don’t feel hungry. They may feel temporarily comforted by food, and then feel depressed, upset, guilty, or ashamed of their eating. As a result, many people try to keep binge-eating symptoms a secret. You can’t tell if someone experiences binge-eating disorder just from the way they look or the way they eat around others. 
 While a lot of people have the experience of eating too much a few times and feeling uncomfortable after, people who experience binge-eating disorder experience many binges for a long period of time. 
 Binge-eating disorder is treatable. Talk to your doctor or a mental health professional if you think you might have binge-eating disorder.",mental_health
What’s the difference between dissociative identity disorder (multiple personality disorder) and schizophrenia?,"Sometimes, people confuse dissociative identity disorder, formerly known as multiple personality disorder, and schizophrenia. Schizophrenia does mean “split mind,” but the name was meant to describe the ‘split’ from reality that you experience during an episode of psychosis, as well as changes in thoughts, emotions, and other functions. Dissociative identity disorder, on the other hand, does cause a split or fragmented understanding of a person’s sense of themselves. 
 Dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own. Most people see different parts of their being as part of the whole person. For people who experience DID, identity fragments may have very different characteristics, including their own history, identity, and mannerisms. A key part of DID is dissociation—feeling detached to the world around you. People who experience DID may have many unexplainable gaps in their memory, forget information they’re already learned, or have difficulties recalling things they’ve said or done. Unlike portrayals of DID on TV or in movies, DID may not be obvious to others, and it can take a lot of time to come to the diagnosis. 
 Schizophrenia is a serious mental illness that causes hallucinations (sensations that aren’t real) and delusions (beliefs that can’t possibly be true, in addition to other symptoms like jumbled thoughts, jumbled speech, and difficulties expressing emotions. People who experience schizophrenia may hear or feel things that aren’t real or believe things that can’t be real, but these aren’t separate identities.",mental_health
What's the difference between psychosis and schizophrenia?,"Psychosis is a syndrome or group of symptoms. Someone experiencing an episode of psychosis is having a ‘break’ with reality. Major symptoms of psychosis are hallucinations and delusions. Hallucinations are sensations that are not real, such as hearing voices or sounds that aren’t real. Hearing voices is a common hallucination, but hallucinations can be experiences with any sense—hearing, sight, smell, taste, or touch. Delusions are strong beliefs that can’t possibly be true. Common delusions include the belief that someone is following or monitoring you, or the belief that you have extraordinary powers or abilities. Other symptoms of psychosis include difficulties concentrating, completing tasks, or making decisions. Thoughts may feel ‘jumbled’ or confused. Some people have a hard time following conversations or speaking clearly. Psychosis can even affect the way people move or express their emotions. 
 Schizophrenia is a mental illness that causes psychosis, but schizophrenia also has other symptoms. And it isn’t the only cause of psychosis. In some cases, other mental illnesses cause psychosis, including depression, bipolar disorder, dementia and borderline personality disorder. Psychosis may come up during times of extreme stress, a major lack of sleep, or trauma. People who are using or withdrawing from certain drugs or medications may experience psychosis. Psychosis may also be caused by a brain injury, neurological problem, or other health problem. So while psychosis can be a part of schizophrenia, it can be caused by many other things too. 
 Psychosis and schizophrenia are treatable. It’s important to seek help as soon as possible.",mental_health
What are positive and negative symptoms?,"Positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia. 
 Positive symptoms add. Positive symptoms include hallucinations (sensations that aren’t real), delusions (beliefs that can’t be real), and repetitive movements that are hard to control. 
 Negative symptoms take away. Negative symptoms include the inability to show emotions, apathy, difficulties talking, and withdrawing from social situations and relationships. 
 There is also a third group of symptoms, usually called cognitive symptoms. This includes anything related to thinking, such as disorganized thoughts, memory problems, and difficulties with focus and attention.",mental_health
What is a prodrome?,"Prodrome is a medical term for early signs or symptoms of an illness or health problem that appear before the major signs or symptoms start. 
 Psychosis, a group of symptoms found in disorders like schizophrenia, is one illness with a specific prodrome. With psychosis, prodrome signs and symptoms start before full symptoms like hallucinations and delusions appear. 
 Common symptoms in the prodrome of psychosis include: 
 These symptoms are found in many other mental illnesses, so it isn’t always clear at the time if this is a prodrome of psychosis or schizophrenia or something else. It’s best to seek help whenever you are concerned about your mental health or a loved one’s mental health. Psychosis and schizophrenia are much easier to manage and treat when treatment starts early.",mental_health
I’m an adult and I think I might have ADHD. What can I do next?,"While we think of attention-deficit/hyperactivity disorder as an illness that affects children, it can last into adulthood—and some people aren’t diagnosed until much later in life. 
 ADHD is diagnosed like any other mental illness, so your family doctor is a good place to start. Your family doctor may be able to assess your mental health and start treatment, if needed, or they may refer you to more specialized mental health services. 
 There are a few organizations that can help you find good resources and find some support: 
 The Canadian Attention Deficit Hyperactivity Disorder Resource Alliance (CADDRA) is an organization that supports health professionals who research ADHD, treat and support people diagnosed with ADHD, and trains professionals. In the ‘Public Info’ section of their website, you’ll find more information on adult ADHD and the assessment process. You’ll also find extensive resources and recommended publications. 
 The Centre for ADHD Awareness, Canada provides education and advocacy for Canadians who experience ADHD. They have a section on their website for adults, including information on symptoms and assessments, treatments, ADHD in the workplace, resources, and a reading list. 
 CHADD Vancouver offers a monthly support group for adults in the Vancouver area.",mental_health
What’s the difference between substance use and addiction?,"People tend to use the word “addiction” to mean very different things. “I am addicted to shopping” might mean only that the speaker likes to shop. On the other hand, “He is addicted” might mean the speaker thinks the other person is completely unable to control his own behaviour. When people use the word about psychoactive (mind-altering) substances like alcohol, tobacco, or other drugs, they often assume these drugs are dangerous and have the power to control human behaviour. 
 The evidence, however, suggests a quite different picture. While substance use can clearly contribute to health and social problems, substances can be beneficial for some people in some situations. Many people celebrate a special occasion with a nice glass of wine, for example. Some people use tobacco as a powerful symbol in cultural and spiritual ceremonies. In fact, substances have been used by humans throughout history for many reasons: to feel good, to feel better, to improve performance, for cultural/spiritual reasons, and to have new experiences. 
 Substance use is more complicated than just “good” or “bad.” It’s helpful to think of substance use along a continuum, from beneficial use to harmful use. Along the middle of the continuum, substance use may be both beneficial and harmful. You have an enjoyable night out with friends, but feel a little ill the next day. At the far end of the continuum, some people develop dependence—they need to continually use the drug in order to feel normal and will keep using even when that leads to financial difficulties, problems at home or at work, health problems, or legal problems. 
 In general, substance use is a problem when it causes problems for you or others—and how much use causes problems will be different for different people in different situations. The reason a person uses a substance influences the risk of developing problems. For instance, if a person uses a substance to have fun, only occasional social use may follow. But when a person uses a substance to cope with a long-term problem such as social anxiety, then more long lasting and intense use may follow. Managing our risk involves being aware of why we are using and what impacts our use is having on ourselves and those around us. The wisdom of our ancestors suggests a guiding principle—not too much, not too often, and only in safe contexts.",mental_health
How can I find help for an alcohol or drug use problem?,"Seeking to make changes in the way you use substances like alcohol or other drugs? This can be an important step! 
 Some people are able to reduce their substance use or quit altogether on their own or with self-help materials. But most of us need support from other people—family members, friends, health professionals, or other people struggling with substance use problems. The right help for you depends on many factors. These include the type of drug you are using, how much and how often, your health and social situation and, of course, your own preferences. Getting help doesn’t mean giving up control of shaping your own path. You are still the one who makes the final decisions about the type and degree of change you make. 
 One way to get help is to talk to a doctor you trust and feel comfortable confiding in. If you aren’t comfortable talking in person, you can also get advice from a registered nurse (along with advice on programs or services in your area) by calling HealthLink BC at 8-1-1. Since some drugs are illegal, many people worry about what might happen if they talk about drug use. It’s important to know that in most cases, doctors have to protect your privacy—it’s the law. 
 In BC, the Alcohol and Drug Information Referral Service can help you find information on treatment options, support groups and other resources throughout the province. It’s free, confidential, and available 24/7. Call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland.",mental_health
How do I know if I'm drinking too much?,"Sorting out if you are drinking too much can be complicated. You are unique and your relationship with alcohol is unique. No one has the same combination of life experiences and influences that you do. So even though you and your friend may choose to drink, how and why you use alcohol may be different. 
 Those of us who drink, seek benefits from alcohol, not difficulties. But sometimes we start using more, and more often, than makes sense. As a general rule, drinking alcohol becomes a problem when it negatively affects our life or the lives of others. Many people imagine this refers to people who consume alcohol “all day every day.” But even drinking too much on a single occasion can lead to a problem, for instance making a poor decision such as driving while impaired. 
 What’s also important to recognize is the potential for negative consequences related to drinking in various contexts (i.e., places, times and activities) and over time (e.g., coping with chronic problems). You can get personalized feedback related to your pattern of drinking as compared to Canada’s Low-Risk Alcohol Drinking Guidelines via the Alcohol Reality Check screening app. This short, simple screen can be used by people of all ages. 
 All alcohol use involves some risk. The reasons people use alcohol can influence their risk of developing problems. For instance, if a person uses alcohol to enhance special celebrations, only occasional social use may follow. But when a person drinks to cope with a long-term problem such as social anxiety, then more long lasting and intense use may follow. 
 By reflecting on your pattern of drinking you can manage your risk for immediate injury or death, your chances for long-term health consequences such as cancer or heart disease, and your risk of developing habitual patterns of drinking that may lead to these harms. 
 Whenever you decide to drink alcohol, it is helpful to know what steps you can take to ensure that your drinking behaviour is the most rewarding and least harmful possible. The following are some useful guidelines to consider. 
 Not too much. Managing how much you drink on a given occasion helps decrease risky behaviours. 
 Tip: Drink slowly and alternate between non-alcoholic and alcoholic beverages. 
 Not too often. Drinking in moderation helps to reduce harms to ourselves and others over time. 
 Tip: Keep less alcohol at home and set limits on how much you are going to drink each week, avoiding drinking on some days. 
 Only in safe contexts. Making informed decisions about where you drink helps to minimize alcohol-related harm. 
 Tip: If going to a bar, stay with a group and choose an establishment that is well lit and near safe transportation options. 
 For information on treatment options and resources throughout BC, call the Alcohol and Drug Information Referral Service at 1-800-663-1441. In Greater Vancouver, call 604-660-9382. 
 To better understand how substances play a role in your life, visit the You and Substance Use workbook on the HeretoHelp website. 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca.",mental_health
"If cannabis is dangerous, why are we legalizing it?","Cannabis smoke, for example, contains cancer-causing toxins. However, the risk of developing some cancers (e.g., mouth, tongue and lung) is less for cannabis smokers than tobacco smokers, partly because they tend to smoke less than tobacco users. And, while all drugs have an effect on the brain, the particular properties of the drug influence the level of risk of harmful consequences. The negative effects of cannabis on the brain, for example, seem to be less than the effects of some substances such as alcohol. 
 Legalizing cannabis provides an opportunity to put in place regulations to minimize potential harms. The danger of buying and using any illegal drug is that we can never know for sure what exactly is in it. Cannabis is legal in Canada as of October 17, 2018. Adults (over age 19 in BC) are now permitted to possess up to 30 grams of cannabis in public. Cannabis is regulated by the Province of British Columbia and will be sold through the Liquor Distribution Branch. Cannabis will be tested for quality. 
 When drugs are produced and obtained inside a regulated system, it is possible for us to know about the contents and dosage of what we are taking. This helps us manage the risks. However, it is likely that cannabis will still be available outside the government system. It is important to know that the quality of cannabis obtained from a dealer or a friend is unknown and may contain contaminants like mold, mildew, or fillers that may be toxic. 
 The legalization of cannabis also provides us with openings to engage in honest and thoughtful discussions about drug use with our families and communities. When dealing with complex issues, like cannabis policy, no one has all the answers. But as community members, we all have thoughts, feelings and experiences around drugs and drug use to share with each other. Engaging together to explore and share ideas will help us discover how to manage use, as individuals and communities, in ways that maximize benefit and minimize harm. 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca.",mental_health
How can I convince my kids not to use drugs?,"You can't. But you can influence their capacity to make good choices in a world where alcohol and other drugs are available. It's about helping your child develop the skills to assess what might be helpful in achieving their goals in life. It's also about nourishing a supportive relationship, so they know where to go with questions or problems. 
 Opening up a discussion about drugs can help strengthen your relationship with your child. Inviting and allowing open, honest conversation about drugs (or any other subject) makes your child know that what they are thinking, feeling and experiencing matters to you. The goal is to get your child talking and sharing their thoughts and feelings. 
 When young people are asked thoughtful, open-ended questions exploring what they think, it helps them become interested in their own thoughts and behaviour. This process of self-reflection is part of developing critical thinking skills, a part of good decision-making. Critical thinking skills are actually an essential part of reducing the risks related to using drugs. Once young people have considered something carefully, they are a lot less likely to act out of impulse or in response to influence. 
 There is no rule about how or where a conversation about alcohol or other drugs should start. Even young children know drugs are a part of our culture. They see people drinking around them and are exposed to drugs on TV and in advertising. This makes it a subject that can be brought up naturally while getting ready for a family celebration where alcohol will be present, or if you are planning to visit a relative who uses tobacco, or while swapping stories at the dinner table about what happened at work and school that day. 
 Talking with teens and young adults about drugs as they make choices on the path into adulthood helps them to develop personal standards, minimize risks and critically assess popular beliefs about drug use. This can be particularly important as they transition to the legal age for using alcohol or cannabis and move out of the family home. While young adults have more independence and more legal rights, parents can continue to be an important sounding board on which to try out their thoughts and ideas. 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca.",mental_health
What is the legal status (and evidence) of CBD oil?,"Cannabidiol or CBD is a naturally occurring component of cannabis. It is extracted from the cannabis plant and often made into an oil for use. CBD is not psychoactive, and does not produce the ‘high’ of THC (tetrahyrocannabinol), the primary psychoactive component of cannabis. CBD is legal in Canada and has been used in the treatment of various medical conditions. 
 All cannabinoids, including CBD, produce effects in the body by attaching to certain receptors in the brain or immune system. The human body also produces its own cannabinoids. It seems that CBD does not attach directly to receptors. Instead, it directs the body to use more of its own cannabinoids to produce the therapeutic effects associated with CBD. 
 Research suggests that CBD may provide relief for chronic pain. Sativex is a proprietary medication that combines THC and CBD and may be prescribed for the relief of pain associated with multiple sclerosis. There is also some evidence suggesting that CBD may be a promising support for people with opioid use disorders. The researchers noted that CBD reduced some symptoms associated with substance use disorders including anxiety, mood-related symptoms, pain, and insomnia. 
 After researching the safety and effectiveness of CBD oil for treating epilepsy, in 2018, the United States FDA approved CBD (Epidiolex) as a therapy for two rare conditions characterized by epileptic seizures. Other evidence suggests that CBD may be useful in the treatment of schizophrenia, though further research is needed before introducing CBD into medical practice. 
 There is some initial evidence that CBD may help people in the early stages of Alzheimer's disease keep the ability to recognize the faces of people that they know, and thus slow progression of the illness. Again, more research is needed in this area. 
 Because of the way cannabis and its products are metabolized, scientists believe there is a potential for interaction with other drugs, although nothing significant has yet been recorded. CBD has been found to be generally safe. Reports from patients indicate that negative drug interactions are not common. As with any other treatment, it is important to monitor your use of CBD and seek assistance if you experience any problems or have questions or concerns about its use. 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca.",mental_health
What is the evidence on vaping?,"""Vaping"" is the term for using a device where liquids, often flavoured, are turned into vapour (hence, vaping) and inhaled. A vaping device consists of a mouthpiece, tank or reservoir to hold the liquid, a heating element and a battery to power the element. The liquid is heated to become a mist, inhaled through the mouth into the lungs where the nicotine or cannabis enters the bloodstream. Any residual vapour is exhaled. Vaping devices come in several types, shapes, and sizes, referred to as e-cigarettes, vape pens, vapes, mods, tanks, or e-hookahs. Vaping liquid (e-liquid, e-juice) consists of a solvent, usually propylene glycol or glycerol, flavour, and nicotine or cannabis, though it may not contain anything. In British Columbia you must be 19 years old to buy vaping products. 
 The number of young people who smoke cigarettes has declined over the past few years, while vaping has increased. E-cigarettes were developed as an alternative to smoking. The first devices were available in 2003 and looked much like a traditional cigarette. Nicotine vapour contains significantly fewer toxins and other particles than smoke from cigarettes. Vaping is a less harmful alternative to cigarettes and evidence suggests, it may help some people quit smoking. Evidence suggests vaping is likely not a gateway to smoking tobacco. 
 Though less harmful than smoking cigarettes, vaping still carries potential harms. There is a small exposure to nicotine and possible carcinogens in the vapour. (A carcinogen is a substance that has the potential to cause cancer). Some evidence suggests that young people may be unaware the vaping liquid often contains nicotine. E-cigarettes are not controlled and the nicotine content of vaping liquids varies significantly among brands. Other chemicals, flavourings, and heavy metals present in vaping liquids, have not as yet been well studied. Long-term health risks from vaping are thus undetermined. More research is needed in these areas. 
 Marketing strategies for vaping products, often on social media, are designed to appeal to young people. The range of flavours available, especially those that are fruity and sweet, and the look and feel of vaping devices attract youth. Young people can see vaping as fun and a way to socialize with friends and 'smoke' in a less harmful way. 
 Making the time and space for discussion and exploring the issues around vaping is one important way we can support young people and indeed, each other, in making good decisions about if, when, or how much to vape. We offer, ""not too much, not too often, and in a safe context"" as one way to think about using any substance. What this means to you may be a place for talking to start! 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca.",mental_health
"In your recent exercise FAQ about how regular fitness can reduce stress, you talked about the mind actually resting during exercise. Is this true?","Have you ever desired some exercise faq? Learning more about exercise and its effects on the body, via exercise faq, can be very helpful. If you want to see real results then an exercise faq is really what you need. Yes, Exercise is a good way to cleanse your mind and emotions. In the recent exercise FAQ, I discussed how if your mind is cluttered, it will become fresh following exercise. If you are exercising properly, your mind will actually be at rest. That's why people who exercise regularly are more productive and creative. Keep in mind that you cannot relieve stress and get the full benefit of exercise if you are in an environment with constant interruption. Explore the exercise faq below and learn what you have always wanted to know about exercise.",fitness
What are some specific growth hormone enhancing exercises?,"This is a great way to kick of the exercise faq. Growth hormone enhancing exercises involves the bigger muscles of our body (legs, back, and shoulders). Exercises that will stimulate the release of growth hormone are those that include the larger muscle groups such as squats, lunges, and deadlifts.",fitness
Is there any proof that exercise increases longevity?,"As a second question in this exercise faq, you couldn't have had a better one.  Moderate exercise extends your life. A famous study looking at almost 17,000 male alumni of Harvard University showed that as the activity of the men increased, their death rates decreased. Men who expended at least 2,000 calories doing moderately vigorous exercise, such as playing tennis or jogging, lowered their overall death rates by 25-33% and decreased their risk of coronary artery disease by 41%when compared to the more sedentary alumni.",fitness
What is one single best piece of fitness equipment you recommend?,"The best piece of equipment is perhaps the cheapest - the jump rope. It offers cardiovascular benefits and tones the upper body at the same time. Nothing else comes close. Practically speaking, however, the best piece of fitness equipment to purchase is one that fits into your budget and one that you will use regularly.",fitness
Should the feet be held down during sit-ups with ones back?,"If you have healthy back or strong abdominal muscles, there should not be a difference. If your abdominal muscles become weak (after repetitive exercise), the lower back may arch and cause strain on the low back. To alleviate this, do sit-ups in a bent-knee position.",fitness
Can over-exercise decrease longevity?,"Over-exercising can have some negative effects on your longevity. A famous study of 17,000 Harvard alumni showed that those who exercised over 3,500 kilo calories a week had a slight increase in death rate as compared to the control group. Researchers postulate that over-exercise leads to an increase in cellular oxidation. This, in turn, leads to increased free radical formation, some of which can lead to cellular mutation and cancer.",fitness
Does aerobic exercise promote growth hormone release?,"Running, race walking, and aerobic exercise stimulates the neuroendocrine system, releasing brain chemicals called endorphins and the catecholamines. These brain chemicals stimulate growth hormone secretion. The only catch is that these exercises have to be done in an intense level (70% to 80% of VO2max). In other words, intensive exercise is equivalent to taking a potent growth hormone release.",fitness
Why are you limiting your cardiovascular training to 30-45 minutes each workout and not longer?,"From an anti-aging perspective, the goal is to maintain our body at an optimum level of exercise into old age. It is not the design of an anti-aging program to prepare you for a marathon, as long training sessions, while good from time to time, can lead to excessive oxidation of muscle cells that in turn can lead to cellular mutation and cancer. Research showed unless you have special needs, the cardiovascular benefit is evident after 20 minutes of continuous aerobics exercise.",fitness
What is my target heart rate zone?,"Your target heart rate zone for anti-aging purposes should be between 60% (during the start of the exercise) and 80% (at the peak of the exercise) of your maximum heart rate (which is calculated as 220 minus your age). Occasionally, you can stress your heart by raising the target for a short time. Always consult your doctor first before embarking on any exercise program.",fitness
The gym I go to has over 100 exercise machines. Are they necessary?,"Do not get distracted from the machines. Successful anti-aging exercises and workouts focus on 11 major muscle groups. It is really very simple. All you need to know are 11 exercises, not 50 exercises. The standard machines such as leg extension, leg curl, leg press, bench press, and lat pull down are good. My Anti-Aging exercises, which comprehensively cover all major muscle, are sufficient unless your goal is to make weight training a competitive sport.",fitness
"If I don't have 20 minutes to do continuous aerobics exercise, can I break it down into two sessions of 10 minutes each?",Recent studies have shown that breaking a 20-minute aerobics into two sessions of ten minutes each have cardiovascular benefit almost the same as one session of 20 minutes. Any exercise is better than no exercise.,fitness
How do I keep up my workout during traveling?,"The key is planning. Anti-aging exercises can be planned with or without equipment. If you are able to go to a gym where you travel to, great. If you are not, select one of the workout programs that require no equipment at all. The quality of the exercise is the same. Most hotels have a designated fitness area nowadays. Be creative - use a towel to help stretch; use water bottles as weights. The possibilities are endless. Challenge yourself by planning and stick to the exercise program as a priority item. You will succeed.",fitness
What is a growth hormone oriented strength training program like?,"Weight training exercises are the best way to enhance growth hormone release. In particular, working the big muscles such as the back, chest, and thigh muscles increase growth hormone levels in the body. A growth hormone oriented strength training program consists of high-intensity heavy lifting, three to five reps, two to five sets at 70-85% of the maximum weight you can handle, three times a week.",fitness
How much time should I realistically expect to spend exercising before I see a transformation of my body?,"The goal of an anti-aging exercise program is to optimize and balanced the physical aspect of your body for longevity. It is not designed to transform your body. However, transformations do take place, and most often within the first 12 weeks, depending on how faithful you are in following the system.",fitness
Should I listen to music during my workout?,"The key to any good workout is the focus. If you can focus on the workout with music on, good for you. Some people like to have quiet environment during their workouts. There is really no rule. Your guiding light should be to do what it takes to give you the maximum amount of concentration to do each workout well.",fitness
Is fat burning an important component of the anti-aging exercise program?,Fat burning comes with any properly done aerobics exercise. The key in anti-aging cardiovascular training is to stress the heart at a suitable level for your age and not over exertion (which may lead to a heart attack). Don't worry about fat burning. Concentrate on the program and everything will take care of itself.,fitness
I don't feel like doing exercises in the morning. Can I do them at another time?,"From an anti-aging perspective, morning is not necessarily the best time to exercise. Research has shown that accidents are more frequent in the morning, perhaps because the joints and muscles are not adequately warmed up. Similarly, heart attacks occur more in those who exercise in the evening, perhaps due to an accumulation of stress through the day and the tiredness of the body. The best time, from an anti-aging perspective, is mid-afternoon when your muscles are warmed up from daily activities and still not too tired.",fitness
Can I exercise at home?,"The reality is that you don't need a gym full of equipment to realize the benefits of a balanced anti-aging workout. Simple dumbbells will suffice if you have them at home. If you have any equipment, a complete training program is still feasible. You can customize your in-home program easily to fit your needs.",fitness
What are the advantages of using dumbbells for strength training?,"Dumbbells permit individualized and optimized alignment of joints, making the exercises both safer and more effective. Furthermore, with the dumbbells, you are exercising in a three-dimensional environment(compared to a machine where it is more linear and two dimensional, so to say), and so your muscle workout is more complete and more real.",fitness
"Should I eat something before I work out, like an energy bar?","If you want to burn the maximum amount of calories and fat, you should exercise on an empty stomach. If you want maximum performance from an athletic viewpoint, an energy bar will help. Anti-aging workouts focus on longevity. Generally speaking, it's important to drink a reasonable amount of water or athletic fluid to keep the body in optimum hydration status, unless you are focused on performance from time to time.",fitness
What is the single most important factor in an anti-aging exercise program?,"The most important factor is consistency. If you cannot be regular with the program, it does not matter how great your exercise regimen is - you will fail. When you are busy, do less. When you have time, do more. Always do something to keep yourself in the program.",fitness
Do I need to exercise more than 1 hour each time?,"From an anti-aging perspective, your entire workout - flexibility, cardiovascular, and strength training can all comfortably fit into 60 minutes. One of the common mistakes people make with their workout is that they exercise for hours and get burned out. Long workouts are great from time to time to stress your body and train for athletic events. For anti-aging, the key is consistent exercise year in and year out.",fitness
When is it too late to start an exercise program?,"Almost anyone can start an exercise program at any age unless your physician directs you not to. After engaging in a regular exercise program for one year, your body reacts as if you've been exercising your entire life. That is the power of exercise.",fitness
My weight tends to accumulate in my buttocks and thigh area. What exercises are particularly good for this area?,Jumping rope and stationary biking at very high speeds and low tension or resistance are ideal for these areas. Also essential for reducing lower body fat is calisthenics on a mat - without ankle weights.,fitness
Should I ask my friend for advice on exercising or weight training?,"Generally speaking, it's better to try to ask an expert for advice. An expert is one who is a professional in the field with at least 10 years of clinical experience. Bad information can lead to injuries, the absolute no-no in anti-aging exercises.",fitness
I am often tired when I come home after a long day. Should I take it easy and skip my workout?,"The next time you come home feeling tired and you don't have enough time to take a short nap, spend 20 minutes on a treadmill and break a sweat. Before you know it, you will be totally revived. Exercise stimulates our nervous system and releases growth hormone into our system for alertness and increases our vitality.",fitness
What are the consequences of over-exercising?,"Over-exercise can lead to insomnia, depression, and a feeling of constant fatigue. It can also lead to over oxidization of cells from excessive free radical release. While your heart may be in excellent shape from the exercise, too many free radicals can lead to cellular mutations, which may ultimately result in cancer.",fitness
Does aerobic exercise lead to an increase in growth hormone levels?,Aerobic exercise results in the persistent long-term release of growth hormone in the plasma for two hours or even longer after exercise is stopped. The best part is that only moderate intensity is sufficient.Studies have shown that moderate-intensity of stationary bicycle activity leads to a 145% increase in growth hormone level in our body.,fitness
Should I have an exercise buddy?,"If you have someone that you can exercise together with, that is wonderful. Try not to rely on one because if you do, you may not go through your routine if he or she is not around. Spend your time educating yourself about fitness and exercise. Let knowledge be your best motivator.",fitness
Why is warming up important in an exercise program?,"Warming up raises both the general body and the deep muscle temperature through increasing the blood flow. It also stretches collagenous tissue, allowing for greater flexibility and improved performance.From an anti-aging perspective, stretching and warming up reduces the rate of injury and is, therefore, a critical element in a comprehensive workout program.",fitness
How much time is needed for warm-up exercises?,"Generally speaking, anywhere from 5 to 15 minutes is recommended. The colder the weather, the longer your warm-up should be. Warming up consist of flexibility training exercises and keeping the heart rate at 60%of the maximum heart rate.",fitness
What is a good warm up exercise?,The best warm up for most exercisers and sports enthusiasts is stationary biking with minimal resistance.It quickly raises your heart rate and is safe.,fitness
What is the best way to increase muscle tone?,"For optimal gains in muscular tone, do three to five sets of ten to thirty reps. Do not increase the number of weights, rather increase the number of reps you perform.",fitness
What is one overall exercise you recommend?,"Jumping rope is a wonderful cardiovascular exercise. It tones your upper body muscles and it's easy to do and highly transportable. You can jump rope almost anywhere, anytime, and you only need a rope.",fitness
What is a good cool down exercise?,Riding a stationary bike with minimal or no resistance or plane walking at a relaxed speed is highly recommended. Don't forget to drink an adequate amount of fluids as well.,fitness
Can I convert fat into muscle by exercising?,"This is a great exercise faq. The answer is no, muscle is not converted into fat. But what you can do is to lose the fat through the proper burning of calories in exercise. Concurrently, you build up lean body mass by strength training. The end result is the same - lose fat, gain muscle.",fitness
How do I know if my muscular endurance level is good?,"If you can hit a golf ball the same distance on the first hole and on the eighteenth hole (4 hours later), you are in relatively good shape from the muscular endurance point of view.",fitness
How much fat should I have in my body?,"A great question for this exercise faq. A certain amount of fat is essential for life. For men, 3-6% of your total body weight must be fat to sustain life. For women, it's 8-12%. The average American male has 25% body fat and women 33%. The optimum anti-aging level for males is 13-18% and women are 18-22 %.",fitness
"When I am fit, I can eat more and don't gain weight. Why is that so?","When you are fit, a higher percentage of your body is lean body mass (i.e., muscle). Muscle burns calories 24 hours a day. So while you are sleeping, your muscles are actually burning calories. So even if you eat more, you are quietly burning it off.",fitness
