Question,Intent
if a person move when i do cpr should i stop,heart
when should i stop cpr,heart
what chance doe the person on whom i perform cpr have of surviving,heart
what should i do if im alone and i do not know cpr,heart
if a pregnant woman choke should i do the heimlich maneuver or can it harm the baby,heart
what is the reason calling 911 occurs after 2 minute of cpr for infant and child whereas for adult the call is made immediately,heart
if successful cpr is dependent on a defibrillator arriving are there any portable defibrillator available,heart
in a trekking guidebook i own it state that if there ha been a trauma fall and the victim ha no pulse then cpr is futile is this true,heart
is it true that if a victim regains a pulse after doing cpr heshe ha probably had a pulse all along,heart
what is sudden cardiac arrest,heart
what cause sudden cardiac arrest,heart
what are the sign and symptom of sudden cardiac arrest,heart
how common is sudden cardiac arrest,heart
doe sudden cardiac arrest mostly affect the elderly,heart
is sudden cardiac arrest the same a a heart attack,heart
where doe sudden cardiac arrest typically occur,heart
who is at risk for sudden cardiac arrest,heart
what is the ejection fraction,heart
doe sudden cardiac arrest mostly affect people with a history of heart problem,heart
what cause sudden cardiac arrest in young people,heart
how can sudden cardiac arrest be prevented,heart
what about heart screening eg for student athlete,heart
what is an implantable cardioverter defibrillator,heart
what is a wearable cardioverter defibrillator,heart
how should sudden cardiac arrest be treated,heart
what is cpr,heart
what is an aed,heart
is there anything a bystander can do to help save a life threatened by sudden cardiac arrest,heart
how doe an aed work,heart
who can use an aed,heart
can i accidentally hurt the victim with an aed,heart
can i hurt myself or others with an aed,heart
can the aed be used safely if the victim is on a metal surface such a a bleacher or stretcher,heart
are there special consideration when placing electrode on a female victim,heart
what if the victim ha a medication patch such a nitroglycerin,heart
what if the victim ha an implantable pacemaker or defibrillator,heart
do aeds always help sca victim,heart
what is the difference between aeds and defibrillator commonly used on ambulance in hospital and on tv,heart
where should aeds be located,heart
do i need to have a prescription to acquire an aed,heart
do aeds replace the use of cpr,heart
should i have an aed in my home,heart
do bystander who provide care need to be concerned about liability risk,heart
who survives sudden cardiac arrest,heart
what is therapeutic hypothermia,heart
after resuscitation will the survivor be able to resume a normal life,heart
do survivor of cardiac arrest experience any complication,heart
four quick step to save a the life of a person who ha just suffered cardiac arrest,heart
what is cprccr,heart
what is an aed,heart
what is the procedure to use an aed machine,heart
can aeds be safely used,heart
how much jolt is administered by an aed can an actual electric shock be given to the victim,heart
how many shock should be given to a victim of a cardiac arrest and for how long,heart
should cpr be continued after an aed shock ha been administered if the victim ha not revived,heart
can the aed pad be attached over the victim clothes,heart
how much doe an aed cost and where can i buy it from if i want to install it in my society or office,heart
location of available aeds in mumbai installed bywith help of project icare,heart
is there a difference between a heart attack and cardiac arrest,heart
what if it not cardiac arrest,heart
what if the cardiac arrest victim is a female,heart
what if the victim ha collapsed at a hard to reach place that look dangerous like rock hill side,heart
what if an aed is not available,heart
am i protected by law if i try to save a person life what is good samaritan law,heart
doe the victim need to be taken to the hospital regardless his revival after a cardiac arrest,heart
doe project icare charge for workshop,heart
i find the programme noble and would like to donate on an individual capacity how should i go about it,heart
i would like to talk about corporate csr funding for icare whom should i contact for it,heart
what are the warning sign of heart disease,heart
is heart disease an irreversible condition,heart
is heart disease hereditary,heart
doe smoking increase your risk of heart disease,heart
is hypothyroidism a risk factor,heart
are birth control pill a contributor to heart disease,heart
doe being overweight increase the risk of heart disease,heart
is salt bad for your heart,heart
how important is diabetes a a risk factor,heart
can stress cause heart disease,heart
how is heart disease related to stroke,heart
what happens if heart disease is left untreated,heart
will taking an aspirin a day reduce the risk of heart disease,heart
is it true that a glass of red wine is good for your heart,heart
can exercise really make your heart stronger,heart
whom should i consult when i suspect of having symptom of heart attack,heart
what are the major risk factor for heart disease,heart
are woman a prone to heart disease a men,heart
how do i differentiate an anginal pain from a pain caused by heart attack,heart
what are various test available to detect heart attack,heart
what are treatment option available to treat heart attack,heart
once after having a heart attack and receiving treatment will i get another attack,heart
what are preventive measure that will help reduce the risk of heart attack,heart
which doctor will help if there is cardiac arrest,heart
how long doe cardiopulmonary resuscitation of cpr continue,heart
what is the prognosis for cardiac arrest,heart
what are the chance of brain damage after cardiac arrest,heart
are there any method to prevent brain injury after cardiac arrest,heart
good,greeting
fine,greeting
hi,greeting
hi there,greeting
hello,greeting
hey,greeting
good morning,greeting
good day,greeting
good afternoon,greeting
good evening,greeting
good to see you,greeting
how are you,greeting
how are you doing,greeting
how is everything going,greeting
how have you been,greeting
whats up,greeting
what is happening,greeting
howdy,greeting
thank you,greeting
bye,greeting
